	T	rho	B2	P_virial	Sk0	kappa	P_kappa	mu	s2	Sk_max
62	1.0	0.63	3.62957607331	6.61890375199	0.0424590097095	0.0673952535072	5.23677199842	15.5911939012	-0.210998972889	1.86672898506
63	1.0	0.64	3.62957607331	6.96512013252	0.0409529435216	0.0639889742524	5.47662398079	16.2012371448	-0.218169938229	1.89425311369
64	1.0	0.65	3.62957607331	7.32634565825	0.0395107346749	0.0607857456537	5.72526321419	16.828088485	-0.225486335897	1.92040114186
65	1.0	0.66	3.62957607331	7.70309843037	0.0381292204864	0.0577715461915	5.98294412591	17.4721356422	-0.232949891037	1.94482960467
66	1.0	0.67	3.62957607331	8.09590978853	0.0368054175855	0.0549334590829	6.24992671615	18.1337718088	-0.240562352272	1.97360247847
67	1.0	0.68	3.62957607331	8.50532442697	0.0355365104137	0.0522595741377	6.5264766474	18.8133957435	-0.248325491019	2.00174962901
68	1.0	0.69	3.62957607331	8.93190081621	0.0343198405675	0.0497388993732	6.81286533527	19.5114118598	-0.256241099684	2.02793507365
69	1.0	0.7	3.62957607331	9.3762113531	0.0331528968957	0.0473612812796	7.10937004087	20.2282303147	-0.264310990793	2.05734798494
70	1.0	0.71	3.62957607331	9.83884251875	0.0320333062995	0.0451173328162	7.41627396468	20.9642670959	-0.272536996068	2.08775057454
71	1.0	0.72	3.62957607331	10.320395299	0.0309588251888	0.0429983683178	7.73386634184	21.7199441006	-0.28092096453	2.11593169978
72	1.0	0.73	3.62957607331	10.8214853415	0.0299273315247	0.0409963445544	8.06244253903	22.4956892164	-0.289464761536	2.14556183768
73	1.0	0.74	3.62957607331	11.3427431207	0.0289368174118	0.0391038073132	8.40230415268	23.2919363962	-0.29817026776	2.17852561999
74	1.0	0.75	3.62957607331	11.8848143543	0.027985382204	0.0373138429387	8.75375910863	24.1091257269	-0.307039377265	2.2089925779
75	1.0	0.76	3.62957607331	12.4483601368	0.02707122607	0.0356200343026	9.11712176314	24.9477034967	-0.316073996575	2.23825261359
76	1.0	0.77	3.62957607331	13.0340571889	0.0261926439932	0.0340164207704	9.4927130052	25.8081222556	-0.325276043344	2.27414076292
77	1.0	0.78	3.62957607331	13.642598207	0.0253480201744	0.032497461762	9.88086036	26.6908408695	-0.334647444648	2.30724458194
78	1.0	0.79	3.62957607331	14.274691924	0.0245358227957	0.0310580035389	10.2818980936	27.5963245724	-0.344190136352	2.33696282976
79	1.0	0.8	3.62957607331	14.9310635322	0.0237545991366	0.0296932489207	10.6961673187	28.525045007	-0.353906061163	2.37458297184
80	1.0	0.81	3.62957607331	15.6124548173	0.0230029709988	0.0283987296281	11.1240161011	29.4774802631	-0.363797167771	2.4107457854
81	1.0	0.82	3.62957607331	16.3196244197	0.0222796304293	0.0271702810113	11.5657995674	30.4541149078	-0.37386540955	2.44314912285
82	1.0	0.83	3.62957607331	17.0533480402	0.0215833357142	0.0260040189328	12.0218800132	31.4554400087	-0.384112743509	2.47973184802
83	1.0	0.84	3.62957607331	17.8144187397	0.0209129076283	0.0248963186051	12.4926270115	32.4819531483	-0.39454112893	2.51945750748
84	1.0	0.85	3.62957607331	18.6036470628	0.0202672259159	0.0238437951951	12.9784175223	33.5341584348	-0.405152526724	2.5550402562
85	1.0	0.86	3.62957607331	19.4218613494	0.0196452259946	0.0228432860402	13.479636002	34.6125665004	-0.415948898136	2.58932624466
86	1.0	0.87	3.62957607331	20.2699078719	0.0190458958596	0.0218918343214	13.9966745129	35.7176944963	-0.42693220418	2.63321059731
87	1.0	0.88	3.62957607331	21.1486510411	0.0184682731783	0.0209866740662	14.5299328328	36.8500660782	-0.438104404881	2.67256896243
88	1.0	0.89	3.62957607331	22.0589736696	0.017911442563	0.0201252163629	15.0798185647	38.0102113827	-0.44946745838	2.70649361718
89	1.0	0.9	3.62957607331	23.0017770724	0.0173745330052	0.0193050366724	15.6467472453	39.198667	-0.461023320741	2.75166592807
